Name,beta,gamma,n_shots,test_accuracy
proud-sweep-829,5000,1000,20,0.875999975
gallant-sweep-821,5000,100,20,0.873999977
autumn-sweep-421,10000,100,20,0.873999977
proud-sweep-877,5000,5000,20,0.869999981
elated-sweep-453,10000,25,20,0.865999985
ethereal-sweep-853,5000,25,20,0.863999975
fearless-sweep-461,10000,50,20,0.861999977
rosy-sweep-413,10000,10,20,0.847999978
neat-sweep-861,5000,50,20,0.843999982
sparkling-sweep-813,5000,10,20,0.839999962
iconic-sweep-405,10000,0.001,20,0.837999976
smart-sweep-869,5000,75,20,0.833999991
jolly-sweep-805,5000,0.001,20,0.833999968
pleasant-sweep-445,10000,5,20,0.815999973
rural-sweep-845,5000,5,20,0.79799999
usual-sweep-365,1000,5,20,0.681999981
prime-sweep-325,1000,0.001,20,0.665999979
hopeful-sweep-333,1000,10,20,0.661999977
revived-sweep-373,1000,25,20,0.615999985
dandy-sweep-381,1000,50,20,0.611999989
eternal-sweep-389,1000,75,20,0.577999985
vocal-sweep-357,1000,10000,20,0.577999979
distinctive-sweep-349,1000,1000,20,0.55799998
frosty-sweep-341,1000,100,20,0.543999988
vivid-sweep-397,1000,5000,20,0.411999989
dashing-sweep-245,100,0.001,20,0.357999983
exalted-sweep-765,75,5,20,0.354000002
comic-sweep-285,100,5,20,0.351999998
daily-sweep-253,100,10,20,0.347999984
different-sweep-733,75,10,20,0.337999994
earthy-sweep-725,75,0.001,20,0.337999994
absurd-sweep-189,10,1000,20,0.331999996
zany-sweep-309,100,75,20,0.325999996
lively-sweep-685,50,5,20,0.322
autumn-sweep-293,100,25,20,0.321999997
golden-sweep-237,10,5000,20,0.321999997
true-sweep-301,100,50,20,0.319999996
trim-sweep-261,100,100,20,0.319999993
light-sweep-629,25,75,20,0.319999987
breezy-sweep-621,25,50,20,0.319999987
absurd-sweep-653,50,10,20,0.315999997
devout-sweep-645,50,0.001,20,0.315999997
hopeful-sweep-613,25,25,20,0.315999994
distinctive-sweep-773,75,25,20,0.315999991
