"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"bumbling-sweep-779","finished","-","liorf","","2022-05-07T22:58:48.000Z","144","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.34399998784065244","1.425092363357544"
"denim-sweep-778","finished","-","liorf","","2022-05-07T22:56:18.000Z","146","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.3119999885559082","1.5456348657608032"
"ancient-sweep-777","finished","-","liorf","","2022-05-07T22:53:56.000Z","140","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.32000001072883605","1.5390263319015502"
"efficient-sweep-776","finished","-","liorf","","2022-05-07T22:51:10.000Z","162","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.20320000648498537","1.737181401252747"
"silver-sweep-775","finished","-","liorf","","2022-05-07T22:48:33.000Z","151","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.2259999930858612","1.7224080324172977"
"fresh-sweep-774","finished","-","liorf","","2022-05-07T22:46:03.000Z","144","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.19733333885669707","1.809655523300171"
"distinctive-sweep-773","finished","-","liorf","","2022-05-07T22:43:38.000Z","140","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.3159999907016754","1.546673846244812"
"electric-sweep-772","finished","-","liorf","","2022-05-07T22:41:10.000Z","143","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.26133334040641787","1.6448001146316529"
"serene-sweep-771","finished","-","liorf","","2022-05-07T22:38:44.000Z","143","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.3519999861717224","1.4295663833618164"
"flowing-sweep-770","finished","-","liorf","","2022-05-07T22:36:18.000Z","142","e4hlnb4l","75","mnist","25","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.3439999848604202","1.5557923555374145"
